c_proveedor,c_articulo,c_sucu_empr,q_bultos_kilos_diarco,f_alta_sist,c_usuario_genero_oc,c_terminal_genero_oc,f_genero_oc,c_usuario_bloqueo,m_procesado,f_procesado,u_prefijo_oc,u_sufijo_oc,c_compra_kikker,c_usuario_modif,c_comprador,m_publicado,abastecimiento,cod_cd,stock
619.0,59507.0,1.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,ctavernise          ,209.0,False,1.0,001,
619.0,59507.0,7.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,007,
619.0,59507.0,9.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,009,
619.0,59507.0,12.0,3.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,012,
619.0,59507.0,18.0,3.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,018,
619.0,59507.0,20.0,5.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,020,
619.0,59507.0,21.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,021,
619.0,59507.0,23.0,2.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,023,
619.0,59507.0,25.0,2.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,025,
619.0,59507.0,27.0,3.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,027,
619.0,59507.0,28.0,5.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,028,
619.0,59507.0,33.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,033,
619.0,59507.0,37.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,037,
619.0,59507.0,44.0,2.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,044,
619.0,59507.0,46.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,046,
619.0,59507.0,87.0,2.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,1.0,087,
619.0,6844.0,41.0,48.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,,,816.0
619.0,7487.0,41.0,6.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,,,72.0
619.0,7488.0,41.0,7.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,ctavernise          ,209.0,False,,,180.0
619.0,25916.0,41.0,10.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,,,250.0
619.0,59507.0,41.0,3.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,,,0.0
619.0,7487.0,82.0,1.0,2025-07-23 14:43:01.755465,,,,,,,,,20250723_619_04944  ,,209.0,False,,,0.0
