c_proveedor,c_articulo,q_bultos_kilos_diarco,f_alta_sist,c_usuario_genero_oc,c_terminal_genero_oc,f_genero_oc,c_usuario_bloqueo,m_procesado,f_procesado,u_prefijo_oc,u_sufijo_oc,c_compra_kikker,c_usuario_modif,c_comprador,c_sucu_empr,m_publicado,stock
11740,70396,27,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70397,39,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70400,33,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70401,33,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70505,28,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70511,44,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70513,24,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,41,False,0.0
11740,70630,33,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70631,46,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70727,27,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,41,False,0.0
11740,70814,19,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72518,16,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72519,29,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72520,27,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72521,15,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72522,23,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72523,19,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72526,23,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72527,33,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72770,24,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73439,12,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73440,13,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73441,31,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73519,48,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73523,19,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73524,33,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,81460,8,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,90033,28,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70396,4,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70397,4,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70400,11,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70401,16,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,70505,6,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70511,9,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70513,9,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70630,4,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,70631,11,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70814,7,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72518,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72519,4,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72520,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,72521,5,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72522,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,72523,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72526,8,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,72527,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,72770,12,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,
11740,73441,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,73519,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,73523,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,73524,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,90033,24,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70396,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70397,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70630,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70727,6,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70727,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70396,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70396,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70513,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70513,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,72521,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,73440,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72520,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,72518,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70397,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70397,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70630,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,72518,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70505,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70505,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,72519,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,72519,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70401,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70400,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
11740,70511,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,82,False,0.0
11740,70814,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,41,False,0.0
11740,70511,5,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,1,False,
